,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
0,2015,1,1,4,AS,98,N407AS,ANC,SEA,5,2354.0,-11.0,21.0,15.0,205.0,194.0,169.0,1448,404.0,4.0,430,408.0,-22.0,0,0,,,,,,
1000,2015,1,1,4,US,556,N749US,MKE,PHX,705,707.0,2.0,11.0,718.0,245.0,244.0,228.0,1460,1006.0,5.0,1010,1011.0,1.0,0,0,,,,,,
2000,2015,1,1,4,US,1937,N509AY,TPA,CLT,830,825.0,-5.0,15.0,840.0,103.0,106.0,74.0,507,954.0,17.0,1013,1011.0,-2.0,0,0,,,,,,
3000,2015,1,1,4,WN,2002,N8601C,LAS,TPA,940,939.0,-1.0,12.0,951.0,250.0,245.0,230.0,1984,1641.0,3.0,1650,1644.0,-6.0,0,0,,,,,,
4000,2015,1,1,4,MQ,2780,N631MQ,MKE,DFW,1045,,,,,165.0,,,853,,,1330,,,0,1,B,,,,,
5000,2015,1,1,4,UA,1415,N32404,IAH,PHX,1149,1149.0,0.0,22.0,1211.0,181.0,178.0,150.0,1009,1341.0,6.0,1350,1347.0,-3.0,0,0,,,,,,
6000,2015,1,1,4,HA,340,N475HA,OGG,KOA,1252,1254.0,2.0,12.0,1306.0,32.0,35.0,17.0,84,1323.0,6.0,1324,1329.0,5.0,0,0,,,,,,
7000,2015,1,1,4,WN,4122,N486WN,MCO,DEN,1355,1420.0,25.0,16.0,1436.0,250.0,250.0,228.0,1546,1624.0,6.0,1605,1630.0,25.0,0,0,,0.0,0.0,23.0,2.0,0.0
8000,2015,1,1,4,MQ,3295,N826MQ,JFK,RDU,1459,1452.0,-7.0,22.0,1514.0,108.0,101.0,76.0,427,1630.0,3.0,1647,1633.0,-14.0,0,0,,,,,,
9000,2015,1,1,4,DL,554,N660DL,RSW,ATL,1600,1556.0,-4.0,12.0,1608.0,110.0,94.0,77.0,515,1725.0,5.0,1750,1730.0,-20.0,0,0,,,,,,
10000,2015,1,1,4,MQ,3581,N613MQ,MIA,TLH,1705,1700.0,-5.0,22.0,1722.0,93.0,96.0,69.0,402,1831.0,5.0,1838,1836.0,-2.0,0,0,,,,,,
11000,2015,1,1,4,WN,623,N8604K,BDL,BWI,1810,1808.0,-2.0,8.0,1816.0,80.0,71.0,52.0,283,1908.0,11.0,1930,1919.0,-11.0,0,0,,,,,,
12000,2015,1,1,4,OO,5434,N908SW,MKG,ORD,1923,1915.0,-8.0,8.0,1923.0,61.0,47.0,30.0,118,1853.0,9.0,1924,1902.0,-22.0,0,0,,,,,,
13000,2015,1,1,4,WN,2852,N740SW,PHX,OAK,2045,2056.0,11.0,12.0,2108.0,120.0,109.0,92.0,646,2140.0,5.0,2145,2145.0,0.0,0,0,,,,,,
14000,2015,1,2,5,UA,1432,N57868,LAX,IAH,115,115.0,0.0,12.0,127.0,180.0,190.0,170.0,1379,617.0,8.0,615,625.0,10.0,0,0,,,,,,
15000,2015,1,2,5,WN,1731,N7732A,CAK,LGA,625,623.0,-2.0,7.0,630.0,90.0,74.0,62.0,397,732.0,5.0,755,737.0,-18.0,0,0,,,,,,
16000,2015,1,2,5,VX,202,N530VA,SFO,ORD,720,718.0,-2.0,15.0,733.0,255.0,245.0,222.0,1846,1315.0,8.0,1335,1323.0,-12.0,0,0,,,,,,
17000,2015,1,2,5,AA,1475,N3DYAA,DFW,AUS,815,829.0,14.0,25.0,854.0,60.0,75.0,45.0,190,939.0,5.0,915,944.0,29.0,0,0,,15.0,0.0,14.0,0.0,0.0
18000,2015,1,2,5,UA,468,N818UA,SFO,PHX,912,917.0,5.0,16.0,933.0,119.0,116.0,92.0,651,1205.0,8.0,1211,1213.0,2.0,0,0,,,,,,
